-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.238ms        35.94%       4.238ms      52.979us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       4.138ms        35.09%       4.138ms      51.721us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.082ms        17.66%       2.082ms      26.028us            80  
                                            aten::copy_         1.04%     141.470us         2.96%     402.899us      10.072us     808.196us         6.85%     808.196us      20.205us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     808.196us         6.85%     808.196us      20.205us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     398.815us         3.38%     398.815us      19.941us            20  
                                              aten::all         1.76%     238.947us        14.62%       1.989ms      99.470us     102.785us         0.87%     107.394us       5.370us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     102.785us         0.87%     102.785us       5.139us            20  
                              aten::_local_scalar_dense         0.55%      74.965us        75.42%      10.266ms     513.295us      24.863us         0.21%      24.863us       1.243us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.863us         0.21%      24.863us       1.243us            20  
                                Activity Buffer Request        11.81%       1.608ms        11.81%       1.608ms       1.608ms       4.609us         0.04%       4.609us       4.609us             1  
                                       aten::as_strided         0.09%      12.925us         0.09%      12.925us       0.646us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.95%     129.707us         0.95%     129.707us       6.485us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      14.398us        75.73%      10.308ms     515.413us       0.000us         0.00%      24.863us       1.243us            20  
                                             aten::item         0.21%      27.960us        75.62%      10.294ms     514.693us       0.000us         0.00%      24.863us       1.243us            20  
                                        cudaMemcpyAsync         2.64%     359.810us         2.64%     359.810us       5.997us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        74.14%      10.093ms        74.14%      10.093ms     504.628us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.09%     285.050us         2.09%     285.050us      14.253us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.26%      36.057us         2.16%     293.515us      14.676us       0.000us         0.00%     373.026us      18.651us            20  
                                    aten::empty_strided         0.57%      77.478us         0.57%      77.478us       3.874us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.77%     512.861us         3.77%     512.861us     256.431us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.612ms
Self CUDA time total: 11.793ms
