-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     680.164us        39.07%     680.164us       8.502us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     543.231us        31.20%     543.231us       6.790us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     235.902us        13.55%     235.902us       2.949us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     170.911us         9.82%     170.911us       8.546us            20  
                                              aten::all         8.18%     318.388us        52.35%       2.038ms     101.918us      48.192us         2.77%      50.720us       2.536us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      48.192us         2.77%      48.192us       2.410us            20  
                                            aten::copy_         4.62%     179.903us        13.32%     518.603us      12.965us      42.593us         2.45%      42.593us       1.065us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      42.593us         2.45%      42.593us       1.065us            40  
                              aten::_local_scalar_dense         2.43%      94.788us        18.79%     731.533us      36.577us      20.064us         1.15%      20.064us       1.003us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      20.064us         1.15%      20.064us       1.003us            20  
                                Activity Buffer Request        39.61%       1.542ms        39.61%       1.542ms       1.542ms       2.528us         0.15%       2.528us       2.528us             1  
                                        cudaGraphLaunch         9.88%     384.655us         9.88%     384.655us      19.233us       1.952us         0.11%       1.952us       0.098us            20  
                                       aten::as_strided         0.40%      15.419us         0.40%      15.419us       0.771us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         4.17%     162.333us         4.17%     162.333us       8.117us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.48%      18.694us        20.09%     782.330us      39.117us       0.000us         0.00%      20.064us       1.003us            20  
                                             aten::item         0.82%      32.103us        19.61%     763.636us      38.182us       0.000us         0.00%      20.064us       1.003us            20  
                                        cudaMemcpyAsync        11.88%     462.714us        11.88%     462.714us       7.712us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        13.17%     512.731us        13.17%     512.731us      25.637us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         1.17%      45.619us         9.86%     383.888us      19.194us       0.000us         0.00%      21.089us       1.054us            20  
                                    aten::empty_strided         2.52%      98.034us         2.52%      98.034us       4.902us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.67%      26.180us         0.67%      26.180us      13.090us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.894ms
Self CUDA time total: 1.741ms
