-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.964ms        30.56%       3.964ms      49.546us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       3.950ms        30.45%       3.950ms      49.378us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.766ms        29.03%       3.766ms      47.070us            80  
                                            aten::copy_         1.06%     156.464us         2.99%     442.054us      11.051us     783.170us         6.04%     783.170us      19.579us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     783.170us         6.04%     783.170us      19.579us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     394.463us         3.04%     394.463us      19.723us            20  
                                              aten::all         1.72%     254.750us        13.90%       2.057ms     102.838us      90.432us         0.70%      94.528us       4.726us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.432us         0.70%      90.432us       4.522us            20  
                              aten::_local_scalar_dense         0.57%      83.645us        75.94%      11.234ms     561.691us      23.808us         0.18%      23.808us       1.190us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.808us         0.18%      23.808us       1.190us            20  
                                Activity Buffer Request        11.16%       1.652ms        11.16%       1.652ms       1.652ms       4.096us         0.03%       4.096us       4.096us             1  
                                       aten::as_strided         0.10%      14.138us         0.10%      14.138us       0.707us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.92%     136.186us         0.92%     136.186us       6.809us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      15.739us        76.29%      11.286ms     564.313us       0.000us         0.00%      23.808us       1.190us            20  
                                             aten::item         0.25%      36.702us        76.19%      11.271ms     563.526us       0.000us         0.00%      23.808us       1.190us            20  
                                        cudaMemcpyAsync         2.63%     389.699us         2.63%     389.699us       6.495us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        74.67%      11.046ms        74.67%      11.046ms     552.304us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.11%     312.361us         2.11%     312.361us      15.618us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.26%      37.801us         2.05%     302.693us      15.135us       0.000us         0.00%     358.082us      17.904us            20  
                                    aten::empty_strided         0.54%      79.642us         0.54%      79.642us       3.982us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.91%     578.645us         3.91%     578.645us     289.323us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.794ms
Self CUDA time total: 12.971ms
