-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     142.927ms        39.09%     142.927ms       1.787ms            80  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us     137.169ms        37.51%     137.169ms     571.538us           240  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      32.951ms         9.01%      32.951ms     205.944us           160  
                                           _sub_ln_fp16         0.00%       0.000us         0.00%       0.000us       0.000us      19.852ms         5.43%      19.852ms     124.073us           160  
                                          _sub_attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      18.073ms         4.94%      18.073ms     225.918us            80  
                                         _sub_gelu_fp16         0.00%       0.000us         0.00%       0.000us       0.000us       6.701ms         1.83%       6.701ms      83.768us            80  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       4.593ms         1.26%       4.593ms     229.667us            20  
                                            aten::copy_         0.02%      91.532us         0.07%     242.829us      12.141us       3.404ms         0.93%       3.404ms     170.217us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.404ms         0.93%       3.404ms     170.217us            20  
                                        cudaGraphLaunch         0.15%     552.273us         0.59%       2.182ms     109.116us     370.111us         0.10%     581.278us      29.064us            20  
                                Activity Buffer Request         0.44%       1.630ms         0.44%       1.630ms       1.630ms     211.167us         0.06%     211.167us     211.167us             1  
                                            aten::clone         0.01%      38.785us         0.10%     357.006us      17.850us       0.000us         0.00%       3.404ms     170.217us            20  
                                    aten::empty_strided         0.02%      75.392us         0.02%      75.392us       3.770us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaMemcpyAsync         0.04%     151.297us         0.04%     151.297us       7.565us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize        99.31%     364.447ms        99.31%     364.447ms     182.223ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 366.986ms
Self CUDA time total: 365.672ms
